#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,USA,"9,81,66,904","10,84,282",,"9,49,62,112","21,20,510","2,970","2,93,206","3,239","1,11,81,58,870","33,39,729","33,48,05,269"
2,India,"4,45,87,307","5,28,629",,"4,40,19,095","39,583",698,"31,698",376,"89,44,16,853","6,35,857","1,40,66,31,776"
3,France,"3,53,42,950","1,55,078",,"3,45,27,115","6,60,757",869,"5,38,892","2,365","27,14,90,188","41,39,547","6,55,84,518"
4,Brazil,"3,47,06,757","6,86,027",,"3,38,38,636","1,82,094","8,318","1,61,162","3,186","6,37,76,166","2,96,146","21,53,53,593"
5,Germany,"3,33,12,373","1,49,948",,"3,23,15,200","8,47,225","1,406","3,97,126","1,788","12,23,32,384","14,58,359","8,38,83,596"
6,S. Korea,"2,47,69,101","28,406",42,"2,40,13,461","7,27,234",352,"4,82,547",553,"1,58,04,065","3,07,892","5,13,29,899"
7,UK,"2,36,21,952","1,89,919",,"2,33,47,871","84,162",146,"3,44,857","2,773","52,25,26,476","76,28,357","6,84,97,907"
8,Italy,"2,24,32,803","1,77,054",,"2,17,79,604","4,76,145",141,"3,72,250","2,938","24,66,36,495","40,92,684","6,02,62,770"
9,Japan,"2,12,29,216","44,678",,"2,03,80,089","8,04,449",204,"1,69,043",356,"7,62,01,407","6,06,772","12,55,84,838"
10,Russia,"2,09,48,470","3,87,163",,"1,99,79,763","5,81,544","2,300","1,43,674","2,655","27,34,00,000","18,75,095","14,58,05,947"
11,Turkey,"1,68,73,793","1,01,139",,"1,67,54,301","18,353",975,"1,97,211","1,182","16,27,43,369","19,02,052","8,55,61,976"
12,Spain,"1,34,12,263","1,14,084",,"1,32,18,892","79,287",339,"2,87,083","2,442","47,10,36,328","1,00,82,298","4,67,19,142"
13,Vietnam,"1,14,77,886","43,148",,"1,05,90,917","8,43,821",106,"1,15,993",436,"8,58,26,548","8,67,342","9,89,53,541"
14,Australia,"1,02,09,239","14,984",,"1,01,33,494","60,761",49,"3,91,627",575,"7,88,35,048","30,24,116","2,60,68,792"
15,Argentina,"97,08,420","1,29,897",,"95,63,348","15,175",294,"2,11,006","2,823","3,57,16,069","7,76,264","4,60,10,234"
16,Netherlands,"84,22,336","22,643",,"83,62,464","37,229",35,"4,89,345","1,316","2,11,07,399","12,26,358","1,72,11,447"
17,Iran,"75,48,320","1,44,421",,"73,25,370","78,529",157,"87,748","1,679","5,40,95,556","6,28,851","8,60,22,837"
18,Mexico,"70,84,488","3,30,065",,"63,53,953","4,00,470","4,798","53,849","2,509","1,83,93,211","1,39,806","13,15,62,772"
19,Indonesia,"64,29,767","1,58,093",,"62,53,317","18,357","2,771","23,035",566,"10,86,56,989","3,89,264","27,91,34,505"
20,Taiwan,"64,17,941","11,003",,"56,03,195","8,03,743",,"2,68,661",461,"2,59,98,416","10,88,319","2,38,88,595"
21,Colombia,"63,07,372","1,41,794",,"61,34,690","30,888",342,"1,22,443","2,753","3,65,72,720","7,09,974","5,15,12,762"
22,Poland,"62,89,672","1,17,539",,"53,35,940","8,36,193","3,086","1,66,659","3,114","3,73,35,609","9,89,290","3,77,39,785"
23,Portugal,"54,90,639","25,024",,"53,94,788","70,827",61,"5,41,453","2,468","4,49,88,307","44,36,467","1,01,40,570"
24,Ukraine,"51,77,217","1,09,206",,"49,73,554","94,457",177,"1,19,865","2,528","1,95,21,252","4,51,963","4,31,92,122"
25,Austria,"51,18,512","20,738",,"50,06,572","91,202",47,"5,64,539","2,287","19,75,43,761","2,17,87,811","90,66,710"
26,Greece,"49,20,192","33,111",,"48,36,903","50,178",115,"4,76,918","3,209","9,41,39,966","91,25,063","1,03,16,637"
27,Malaysia,"48,38,872","36,369",,"47,77,329","25,174",43,"1,45,832","1,096","6,46,04,259","19,47,021","3,31,81,072"
28,DPRK,"47,72,813",74,,"47,72,739",0,,"1,83,636",3,,,"2,59,90,679"
29,Thailand,"46,81,309","32,767",9,"46,42,083","6,459","1,496","66,801",468,"1,72,70,775","2,46,450","7,00,78,203"
30,Israel,"46,61,096","11,698",,"46,41,394","8,004",101,"4,99,796","1,254","4,13,73,364","44,36,346","93,26,000"
31,Chile,"46,20,377","61,141",,"45,40,886","18,350",124,"2,40,017","3,176","4,51,28,974","23,44,339","1,92,50,195"
32,Belgium,"45,33,249","32,659",,"44,51,569","49,021",48,"3,88,511","2,799","3,55,55,508","30,47,194","1,16,68,278"
33,Canada,"42,33,468","44,992",,"41,31,367","57,109",99,"1,10,280","1,172","6,49,28,884","16,91,366","3,83,88,419"
34,Peru,"41,43,085","2,16,539",,"39,14,598","11,948",147,"1,22,998","6,429","3,51,26,382","10,42,815","3,36,84,208"
